# _tick,_time,success_rate,step,mean_episode_return,mean_episode_step,total_loss,entropy_loss,pg_loss,baseline_loss,learner_queue_size
0,1643929924.5416448,0.0,320,-3.7009973526000977,61.75,-3.704044818878174,-0.03313431143760681,-4.04186487197876,0.37095436453819275,0
1,1643929925.486769,0.0,560,-3.727997303009033,83.0,75405.640625,-1.994644804881318e-08,0.0,75405.640625,0
2,1643929926.5609949,0.0,800,-3.738996982574463,104.25,141197.125,-4.847326540158292e-09,0.0,141197.125,1
3,1643929927.4056234,0.0,1040,-3.738996982574463,125.5,190482.1875,-4.187757252083202e-09,0.0,190482.1875,0
